ddodyear,censuscode,deathcount
2014,9160,9
2014,9170,5
2014,9290,6
2014,9380,1
2014,9390,34
2014,9470,18
2014,9480,12
2014,9490,2
2014,9570,5
2014,9590,6
2015,0170,15
2015,0180,1
2015,0190,2
2015,0270,1
2015,0280,2
2015,0290,1
2015,0490,1
2015,0570,9
2015,0580,1
2015,0690,5
2015,0770,100
2015,1070,1
2015,1170,2
2015,1180,3
2015,1190,1
2015,1270,5
2015,1280,1
2015,1290,4
2015,1370,1
2015,1480,2
2015,1691,5
2015,1870,7
2015,1880,1
2015,1990,6
2015,2190,1
2015,2290,3
2015,2370,1
2015,2390,1
2015,2490,2
2015,2570,1
2015,2670,11
2015,2680,1
2015,2770,2
2015,2870,2
2015,2880,2
2015,2970,1
2015,2980,3
2015,2990,4
2015,3170,2
2015,3291,1
2015,3365,3
2015,3380,3
2015,3390,13
2015,3490,3
2015,3570,2
2015,3580,6
2015,3590,3
2015,3680,8
2015,3770,3
2015,3780,1
2015,3875,4
2015,3895,1
2015,3990,33
2015,4070,1
2015,4090,1
2015,4170,1
2015,4270,2
2015,4280,1
2015,4380,1
2015,4470,7
2015,4580,1
2015,4590,3
2015,4670,7
2015,4680,5
2015,4690,7
2015,4770,4
2015,4780,3
2015,4795,4
2015,4870,5
2015,4880,1
2015,4971,12
2015,4972,1
2015,4980,3
2015,4990,1
2015,5070,4
2015,5080,1
2015,5090,3
2015,5170,2
2015,5190,3
2015,5275,3
2015,5370,2
2015,5381,4
2015,5470,2
2015,5480,4
2015,5570,2
2015,5580,2
2015,5680,2
2015,5690,2
2015,5790,29
2015,6070,8
2015,6080,7
2015,6090,5
2015,6170,28
2015,6180,8
2015,6190,1
2015,6290,17
2015,6370,13
2015,6380,2
2015,6390,7
2015,6470,6
2015,6480,5
2015,6570,1
2015,6670,3
2015,6680,12
2015,6690,4
2015,6770,7
2015,6870,26
2015,6890,2
2015,6970,10
2015,6991,15
2015,6992,9
2015,7071,11
2015,7072,7
2015,7080,2
2015,7270,10
2015,7280,12
2015,7290,15
2015,7370,8
2015,7380,8
2015,7460,1
2015,7470,1
2015,7490,4
2015,7570,2
2015,7580,2
2015,7590,4
2015,7670,4
2015,7680,8
2015,7690,17
2015,7770,9
2015,7780,1
2015,7790,1
2015,7860,94
2015,7870,20
2015,7890,2
2015,7970,9
2015,7980,3
2015,8070,3
2015,8080,1
2015,8090,7
2015,8170,15
2015,8191,74
2015,8192,1
2015,8270,19
2015,8290,1
2015,8370,12
2015,8470,7
2015,8562,4
2015,8564,17
2015,8570,2
2015,8580,2
2015,8590,4
2015,8660,7
2015,8680,53
2015,8690,3
2015,8770,14
2015,8870,2
2015,8891,4
2015,8980,5
2015,8990,3
2015,9070,4
2015,9080,2
2015,9160,19
2015,9170,7
2015,9190,1
2015,9290,4
2015,9370,1
2015,9390,35
2015,9470,13
2015,9480,10
2015,9490,3
2015,9570,3
2015,9590,5
2016,0170,18
2016,0180,4
2016,0190,1
2016,0270,1
2016,0280,1
2016,0290,1
2016,0480,1
2016,0490,2
2016,0570,4
2016,0670,1
2016,0690,7
2016,0770,90
2016,1070,1
2016,1090,3
2016,1170,2
2016,1180,1
2016,1190,1
2016,1270,3
2016,1290,6
2016,1370,3
2016,1480,2
2016,1590,1
2016,1691,11
2016,1770,1
2016,1870,6
2016,1880,1
2016,1890,1
2016,1990,8
2016,2070,2
2016,2090,1
2016,2190,1
2016,2270,1
2016,2290,2
2016,2380,1
2016,2470,1
2016,2480,1
2016,2570,1
2016,2670,6
2016,2680,1
2016,2770,8
2016,2870,3
2016,2880,2
2016,2890,1
2016,2980,2
2016,2990,4
2016,3080,2
2016,3170,1
2016,3180,1
2016,3291,4
2016,3365,1
2016,3370,1
2016,3380,4
2016,3390,5
2016,3490,4
2016,3570,5
2016,3580,10
2016,3590,2
2016,3670,2
2016,3680,9
2016,3770,9
2016,3875,1
2016,3895,6
2016,3960,2
2016,3990,24
2016,4070,2
2016,4090,1
2016,4170,1
2016,4265,1
2016,4270,4
2016,4290,2
2016,4380,2
2016,4390,1
2016,4470,8
2016,4480,1
2016,4560,2
2016,4590,2
2016,4670,14
2016,4680,3
2016,4690,6
2016,4770,2
2016,4780,2
2016,4795,2
2016,4870,11
2016,4880,3
2016,4971,17
2016,4972,2
2016,4980,2
2016,5070,4
2016,5080,1
2016,5090,4
2016,5170,3
2016,5190,2
2016,5275,2
2016,5381,4
2016,5391,1
2016,5470,3
2016,5480,1
2016,5490,1
2016,5570,1
2016,5580,1
2016,5680,1
2016,5690,2
2016,5790,36
2016,6070,8
2016,6080,14
2016,6090,1
2016,6170,31
2016,6180,6
2016,6190,4
2016,6290,14
2016,6370,11
2016,6380,2
2016,6390,7
2016,6470,6
2016,6480,2
2016,6570,4
2016,6590,3
2016,6680,11
2016,6690,3
2016,6770,6
2016,6870,20
2016,6890,2
2016,6970,5
2016,6991,12
2016,6992,6
2016,7071,17
2016,7072,2
2016,7190,1
2016,7270,13
2016,7280,16
2016,7290,17
2016,7370,4
2016,7380,6
2016,7390,1
2016,7460,3
2016,7470,5
2016,7480,2
2016,7490,2
2016,7570,1
2016,7580,3
2016,7670,2
2016,7680,8
2016,7690,11
2016,7770,8
2016,7790,2
2016,7860,91
2016,7870,23
2016,7880,1
2016,7890,1
2016,7970,17
2016,7980,4
2016,8080,1
2016,8090,6
2016,8170,8
2016,8180,2
2016,8191,68
2016,8192,2
2016,8270,14
2016,8290,2
2016,8370,9
2016,8470,3
2016,8562,1
2016,8564,19
2016,8570,3
2016,8590,5
2016,8660,10
2016,8680,64
2016,8690,4
2016,8770,19
2016,8790,2
2016,8870,5
2016,8891,4
2016,8970,3
2016,8980,4
2016,8990,1
2016,9070,3
2016,9080,1
2016,9160,17
2016,9170,7
2016,9180,3
2016,9290,2
2016,9370,3
2016,9380,3
2016,9390,29
2016,9470,20
2016,9480,2
2016,9490,1
2016,9570,6
2016,9590,5
2017,0170,16
2017,0180,2
2017,0190,1
2017,0270,3
2017,0280,1
2017,0290,3
2017,0370,2
2017,0570,8
2017,0580,3
2017,0670,3
2017,0680,1
2017,0690,8
2017,0770,74
2017,1090,1
2017,1170,1
2017,1180,1
2017,1190,3
2017,1270,4
2017,1290,3
2017,1370,2
2017,1480,1
2017,1691,6
2017,1790,1
2017,1870,6
2017,1990,7
2017,2070,1
2017,2090,1
2017,2180,1
2017,2290,2
2017,2570,1
2017,2590,1
2017,2670,6
2017,2680,1
2017,2770,4
2017,2790,1
